mandate_id,customer_id,amount,mandate_type,product_category,decline_code,days_since_salary_credit,prior_bounce_count,is_revocable,attempt_number,timestamp,batch_id,is_held_out,correct_action
MAND-001,CUST-1000,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-002,CUST-1001,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-003,CUST-1002,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-004,CUST-1003,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-005,CUST-1004,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-006,CUST-1005,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-007,CUST-1006,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-008,CUST-1007,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-009,CUST-1008,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-010,CUST-1009,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-011,CUST-1010,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-012,CUST-1011,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-013,CUST-1012,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-014,CUST-1013,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-015,CUST-1014,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-016,CUST-1015,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-017,CUST-1016,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-018,CUST-1017,12000,UPI_AUTOPAY,subscription,INSUFFICIENT_FUNDS,3,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-019,CUST-1018,8500,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,10,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
MAND-020,CUST-1019,8500,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,10,0,True,1,2026-08-24T13:00:53.186274+00:00,b1f2b150-8911-4aeb-a6b3-1e54ddb8b271,False,
