mandate_id,customer_id,amount,mandate_type,product_category,decline_code,days_since_salary_credit,prior_bounce_count,is_revocable,attempt_number,timestamp,batch_id,is_held_out,correct_action
sub_live_demo_test,CUST-LIVE-001,18000,UPI_AUTOPAY,subscription,AFA_REQUIRED,5,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,SEND_UPI_INTENT_PUSH
MAND-NR-EFCB416B,CUST-NR-001,60000,ENACH,loan_emi,NON_REVOCABLE_HARD_DECLINE,2,2,false,2,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,ESCALATE_TO_HUMAN
MAND-NR-42C0DC0C,CUST-NR-002,48000,ENACH,loan_emi,NON_REVOCABLE_HARD_DECLINE,3,3,false,2,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,ESCALATE_TO_HUMAN
MAND-NR-5E27EA65,CUST-NR-003,48000,ENACH,loan_emi,NON_REVOCABLE_HARD_DECLINE,1,2,false,2,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,ESCALATE_TO_HUMAN
MAND-NR-A4C9ACE4,CUST-NR-004,75000,ENACH,loan_emi,NON_REVOCABLE_HARD_DECLINE,2,2,false,2,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,ESCALATE_TO_HUMAN
MAND-NR-DB66261A,CUST-NR-005,48000,ENACH,loan_emi,NON_REVOCABLE_HARD_DECLINE,1,2,false,2,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,ESCALATE_TO_HUMAN
MAND-BTD-9F8911CC,CUST-BTD-001,499,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,11,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-26A961BB,CUST-BTD-002,499,UPI_AUTOPAY,sip,BANK_TECHNICAL_DECLINE,7,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-E0D54F3C,CUST-BTD-003,4500,UPI_AUTOPAY,insurance,BANK_TECHNICAL_DECLINE,8,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-9F7EBEAE,CUST-BTD-004,4500,ENACH,sip,BANK_TECHNICAL_DECLINE,18,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-C4E14DE0,CUST-BTD-005,2999,ENACH,loan_emi,BANK_TECHNICAL_DECLINE,10,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-1AD4A86D,CUST-BTD-006,7500,UPI_AUTOPAY,sip,BANK_TECHNICAL_DECLINE,3,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-44CFFB8F,CUST-BTD-007,7500,ENACH,subscription,BANK_TECHNICAL_DECLINE,18,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-0E1B8362,CUST-BTD-008,7500,UPI_AUTOPAY,insurance,BANK_TECHNICAL_DECLINE,9,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-8303A974,CUST-BTD-009,12000,ENACH,loan_emi,BANK_TECHNICAL_DECLINE,20,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-9DAE6273,CUST-BTD-010,7500,UPI_AUTOPAY,sip,BANK_TECHNICAL_DECLINE,5,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-380FB02A,CUST-BTD-011,12000,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,17,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-07659793,CUST-BTD-012,499,ENACH,loan_emi,BANK_TECHNICAL_DECLINE,14,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-AC3CE719,CUST-BTD-013,12000,ENACH,insurance,BANK_TECHNICAL_DECLINE,15,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-F6E845A6,CUST-BTD-014,7500,ENACH,subscription,BANK_TECHNICAL_DECLINE,7,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-1FE693B3,CUST-BTD-015,4500,UPI_AUTOPAY,sip,BANK_TECHNICAL_DECLINE,13,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-86C543EB,CUST-BTD-016,2999,UPI_AUTOPAY,insurance,BANK_TECHNICAL_DECLINE,6,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-CFC1F478,CUST-BTD-017,12000,ENACH,subscription,BANK_TECHNICAL_DECLINE,17,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-B9898AD7,CUST-BTD-018,999,ENACH,subscription,BANK_TECHNICAL_DECLINE,20,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-40B2AD40,CUST-BTD-019,1499,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,14,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-0186F972,CUST-BTD-020,2999,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,10,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-BD0C57B8,CUST-BTD-021,1499,ENACH,sip,BANK_TECHNICAL_DECLINE,18,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-D5199409,CUST-BTD-022,7500,UPI_AUTOPAY,subscription,BANK_TECHNICAL_DECLINE,8,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-24DC5004,CUST-BTD-023,7500,ENACH,insurance,BANK_TECHNICAL_DECLINE,5,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-80CDEB9A,CUST-BTD-024,2999,ENACH,insurance,BANK_TECHNICAL_DECLINE,9,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-AEF3BA0E,CUST-BTD-025,499,ENACH,insurance,BANK_TECHNICAL_DECLINE,3,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-68BBA9B9,CUST-BTD-026,4500,ENACH,loan_emi,BANK_TECHNICAL_DECLINE,3,1,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-677140D5,CUST-BTD-027,12000,ENACH,loan_emi,BANK_TECHNICAL_DECLINE,12,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
MAND-BTD-7A33D025,CUST-BTD-028,4500,ENACH,insurance,BANK_TECHNICAL_DECLINE,8,0,true,1,2026-09-03T05:40:12.637189+00:00,62869a5d-00f3-4748-94a8-4062ebbdf0b7,False,RETRY_AFTER_BACKOFF
